txn_id	post_date	packet_number	source_transaction	description_vendor	amount	account	fund	sub_fund	acct_code	acct_name	section	acct_type	category	consolidated_name
11	04/11/2025	CLPKT00536	R00003071	RAY COUNTY CLERK COLLECTOR FEES: FEBRUARY 26 - MARCH 18 BRANDON & CHARLA STEPHAN,ERICA & LARRY PRUITT,RAY COUNTY   -4.35CLERK,RAY COUN	-4.35	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
12	04/11/2025	CLPKT00536	R00003071	RAY COUNTY CLERK NOTARY: FEBRUARY 26 - MARCH 18 BRANDON & CHARLA STEPHAN,ERICA & LARRY PRUITT,RAY COUNTY CLERK,RAY	-24.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
13	04/11/2025	CLPKT00536	R00003071	RAY COUNTY CLERK NOTARY FEES: FEBRUARY 26 - MARCH 18 BRANDON & CHARLA STEPHAN,ERICA & LARRY PRUITT,RAY COUNTY	-26.3	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
14	04/11/2025	CLPKT00536	R00003072	& DONNA W RAY COUNTY CLERK COLLECTOR FEES: MARCH 19 - APRIL 9 EMBRACE THE GRAPE LLC,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,ROGER	-37.8	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
15	04/11/2025	CLPKT00536	R00003072	& DONN RAY COUNTY CLERK SUNSHINE REQUESTS: MARCH 19 - APRIL 9 EMBRACE THE GRAPE LLC,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,ROGER	-2.4	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
16	04/11/2025	CLPKT00536	R00003072	RAY COUNTY CLERK NOTARY FEES: MARCH 19 - APRIL 9 EMBRACE THE GRAPE LLC,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,ROGER	-26.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
17	04/11/2025	CLPKT00536	R00003072	RAY COUNTY CLERK NOTARY: MARCH 19 - APRIL 9 EMBRACE THE GRAPE LLC,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,ROGER &	-18.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
18	05/05/2025	CLPKT00546	R00003099	RAY COUNTY CLERK NOTARY FEES: APR 9 - MAY 5 KAREN STIGALL,RAY COUNTY CLERK,THE CITY OF EXCELSIOR SPRINGS GOLF COURSE  -40,2448,4161	-40	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
19	05/05/2025	CLPKT00546	R00003099	RAY COUNTY CLERK SUNSHINE REQUESTS: APR 9 - MAY 5 KAREN STIGALL,RAY COUNTY CLERK,THE CITY OF EXCELSIOR SPRINGS GOLF-9.2COURSE ,2448,416	-9.2	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
20	05/05/2025	CLPKT00546	R00003099	RAY COUNTY CLERK NOTARY: APR 9 - MAY 5 KAREN STIGALL,RAY COUNTY CLERK,THE CITY OF EXCELSIOR SPRINGS GOLF COURSE ,2448,4161	-24.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
21	05/30/2025	CLPKT00557	R00003130	RAY COUNTY CLERK NOTARY FEES: MAY 5 - 27 BRYAN CAVE LEIGHTON PAISNER LLP,CASEYS GENERAL STORES,DEPOT LLC,KEITH & LINDA	-16.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
22	05/30/2025	CLPKT00557	R00003130	RAY COUNTY CLERK COLLECTOR FEES: MAY 5 - 27 BRYAN CAVE LEIGHTON PAISNER LLP,CASEYS GENERAL STORES,DEPOT LLC,KEITH & LINDA GARRISON,R	-27.15	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
23	05/30/2025	CLPKT00557	R00003130	COU RAY COUNTY CLERK NOTARY: MAY 5 - 27 BRYAN CAVE LEIGHTON PAISNER LLP,CASEYS GENERAL STORES,DEPOT LLC,KEITH & LINDA GARRISON,RAY	-18.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
24	06/06/2025	CLPKT00559	R00003142	RAY COUNTY CLERK COLLECTOR FEES: MAY 28 - JUNE 5 ASPIRE SENIOR LIVING EXC SPGS LLC,FOOD MONTAGE INC,FRATERNAL ORDER-32.7OF EAGLES,GEORG	-32.7	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
25	06/06/2025	CLPKT00559	R00003142	RAY COUNTY CLERK NOTARY FEES: MAY 28 - JUNE 5 ASPIRE SENIOR LIVING EXC SPGS LLC,FOOD MONTAGE INC,FRATERNAL ORDER OF EAGLES,GEORGES	-24.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
26	06/06/2025	CLPKT00559	R00003142	LIQU RAY COUNTY CLERK NOTARY: MAY 28 - JUNE 5 ASPIRE SENIOR LIVING EXC SPGS LLC,FOOD MONTAGE INC,FRATERNAL ORDER OF EAGLES,GEORGES	-12.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
27	06/17/2025	CLPKT00563	R00003160	STEAKHOUS RAY COUNTY CLERK NOTARY: JUNE 5-16 415 MAIN EXPRESS STOP LLC,609 SHELL EXPRESS STOP LLC,800 MAIN EXPRESS STOP LLC,BRANDED	-18.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
28	06/17/2025	CLPKT00563	R00003160	RAY COUNTY CLERK SUNSHINE REQUESTS: JUNE 5-16 415 MAIN EXPRESS STOP LLC,609 SHELL EXPRESS STOP LLC,800 MAIN EXPRESS STOP LLC,BRANDED	-18.4	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
29	06/17/2025	CLPKT00563	R00003160	STEAK RAY COUNTY CLERK NOTARY FEES: JUNE 5-16 415 MAIN EXPRESS STOP LLC,609 SHELL EXPRESS STOP LLC,800 MAIN EXPRESS STOP LLC,BRANDED	-18.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
30	06/20/2025	CLPKT00566	R00003169	RECREA RAY COUNTY CLERK NOTARY: JUNE 17-18 FENCE STILE VINEYARDS WINERY,RAY COUNTY CLERK,SHAMROCK HILLS VINEYARD & WINERY,SHIRKEY	-12.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
31	06/20/2025	CLPKT00566	R00003169	RE RAY COUNTY CLERK NOTARY FEES: JUNE 17-18 FENCE STILE VINEYARDS WINERY,RAY COUNTY CLERK,SHAMROCK HILLS VINEYARD & WINERY,SHIRKEY	-2.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
32	07/22/2025	CLPKT00577	R00003205	RAY COUNTY CLERK NOTARY: JUNE 20 - JULY 1 DORTONS,HOUSEWORTH RENOVATIONS LLC,OF THE EARTH FARM DISTILLERY LLC,RAY	-36.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
33	07/22/2025	CLPKT00577	R00003205	RAY COUNTY CLERK NOTARY FEES: JUNE 20 - JULY 1 DORTONS,HOUSEWORTH RENOVATIONS LLC,OF THE EARTH FARM DISTILLERY LLC,RAY	-8.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
34	08/05/2025	CLPKT00582	R00003221	RAY COUNTY CLERK NOTARY FEES: JULY 1 - 30 HOMETOWN PIZZA,KRISTI CASTLE,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,STEVE RITTER AUCTIONE	-36.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
35	08/05/2025	CLPKT00582	R00003221	RAY COUNTY CLERK COLLECTOR FEE: JULY 1 - 30 HOMETOWN PIZZA,KRISTI CASTLE,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,STEVE	-29.85	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Contracted & Professional Services	COUNTY CLERK FEES
36	08/05/2025	CLPKT00582	R00003221	RAY COUNTY CLERK NOTARY: JULY 1 - 30 HOMETOWN PIZZA,KRISTI CASTLE,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,STEVE RITTER	-12.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
37	08/05/2025	CLPKT00582	R00003221	RAY COUNTY CLERK COPIES: JULY 1 - 30 HOMETOWN PIZZA,KRISTI CASTLE,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,STEVE RITTER-0.4AUCTIONEERING	-0.4	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
38	08/29/2025	CLPKT00593	R00003269	RAY COUNTY CLERK COLLECTOR FEE: JULY 31 - AUGUST 28 CHRISTINA ROBINSON,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,STELLAS	-82.5	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Contracted & Professional Services	COUNTY CLERK FEES
39	08/29/2025	CLPKT00593	R00003269	RAY COUNTY CLERK NOTARY FEES: JULY 31 - AUGUST 28 CHRISTINA ROBINSON,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,STELLAS   -34BAR & GRILL LLC,	-34	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
40	08/29/2025	CLPKT00593	R00003269	RAY COUNTY CLERK NOTARY: JULY 31 - AUGUST 28 CHRISTINA ROBINSON,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,STELLAS BAR	-24.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
41	08/29/2025	CLPKT00593	R00003269	RAY COUNTY CLERK COPIES: JULY 31 - AUGUST 28 CHRISTINA ROBINSON,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,STELLAS BAR	-0.9	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
42	10/03/2025	CLPKT00606	R00003320	COUNTY CO RAY COUNTY CLERK NOTARY FEES: SEPT 4 - 30 HIGHER LEVEL LEGAL LLC,KRISTA TWEEDY,MICHIAL & KRISTI BISHOP,RAY COUNTY CLERK,RAY	-26.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Contracted & Professional Services	COUNTY CLERK FEES
43	10/03/2025	CLPKT00606	R00003320	RAY COUNTY CLERK COLLECTOR FEE: SEPT 4 - 30 HIGHER LEVEL LEGAL LLC,KRISTA TWEEDY,MICHIAL & KRISTI BISHOP,RAY COUNTY CLERK,RAY COUNTY	-48.9	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Contracted & Professional Services	COUNTY CLERK FEES
44	10/03/2025	CLPKT00606	R00003320	RAY COUNTY CLERK NOTARY: SEPT 4 - 30 HIGHER LEVEL LEGAL LLC,KRISTA TWEEDY,MICHIAL & KRISTI BISHOP,RAY COUNTY CLERK,RAY -42COUNTY COLLEC	-42	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Contracted & Professional Services	COUNTY CLERK FEES
45	10/31/2025	CLPKT00615	R00003358	RAY COUNTY CLERK NOTARY: SEPT 30 - OCT 17, 2025 FRANK & JEANNE GRIFFIN,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,RHONDA	-24.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
46	10/31/2025	CLPKT00615	R00003358	&L RAY COUNTY CLERK SUNSHINE REQUESTS: SEPT 30 - OCT 17, 2025 FRANK & JEANNE GRIFFIN,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,RHONDA	-45.4	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
47	10/31/2025	CLPKT00615	R00003358	& LARR RAY COUNTY CLERK COLLECTOR FEES: SEPT 30 - OCT 17, 2025 FRANK & JEANNE GRIFFIN,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,RHONDA	-8.25	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
48	10/31/2025	CLPKT00615	R00003358	& LARRY Y RAY COUNTY CLERK NOTARY FEES: SEPT 30 - OCT 17, 2025 FRANK & JEANNE GRIFFIN,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,RHONDA	-22.4	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
49	11/24/2025	CLPKT00622	R00003397	ATTY AT L RAY COUNTY CLERK NOTARY: OCT 23 - NOV 24 FLAT BRANCH BANK,HARDIN MINI MART,LAWSON R-XIV SCHOOL DISTRICT,MARK A GOODWIN	-36.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
50	11/24/2025	CLPKT00622	R00003397	RAY COUNTY CLERK NOTARY FEES: OCT 23 - NOV 24 FLAT BRANCH BANK,HARDIN MINI MART,LAWSON R-XIV SCHOOL DISTRICT,MARK    -30A GOODWIN ATT	-30	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
51	11/24/2025	CLPKT00622	R00003397	ATTY AT LA RAY COUNTY CLERK COPIES: OCT 23 - NOV 24 FLAT BRANCH BANK,HARDIN MINI MART,LAWSON R-XIV SCHOOL DISTRICT,MARK A GOODWIN	-0.1	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
52	11/24/2025	CLPKT00622	R00003397	RAY COUNTY CLERK COLLECTOR FEE: OCT 23 - NOV 24 FLAT BRANCH BANK,HARDIN MINI MART,LAWSON R-XIV SCHOOL DISTRICT,MARK	-4.35	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Contracted & Professional Services	COUNTY CLERK FEES
53	12/31/2025	CLPKT00634	R00003446	MCGLOTH RAY COUNTY CLERK NOTARY: NOV 25 - DEC 23 FRANK & MARTHA OYLER,OYLER EIGHT,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,TAYLOR	-48.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
54	12/31/2025	CLPKT00634	R00003446	MCG RAY COUNTY CLERK NOTARY FEES: NOV 25 - DEC 23 FRANK & MARTHA OYLER,OYLER EIGHT,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,TAYLOR	-22.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
55	12/31/2025	CLPKT00634	R00003446	M RAY COUNTY CLERK COLLECTOR FEES: NOV 25 - DEC 23 FRANK & MARTHA OYLER,OYLER EIGHT,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,TAYLOR	-13.2	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
56	12/31/2025	CLPKT00634	R00003446	MCGLOTHL RAY COUNTY CLERK COPIES: NOV 25 - DEC 23 FRANK & MARTHA OYLER,OYLER EIGHT,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,TAYLOR	-6.6	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
57	06/17/2025	CLPKT00563	R00003160	RAY COUNTY CLERK AUCTIONEER LICENSE: JUNE 5-16 415 MAIN EXPRESS STOP LLC,609 SHELL EXPRESS STOP LLC,800 MAIN EXPRESS STOP LLC,BRANDED	-156.0	01-02-44000	01	02	44000	AUCTIONEER LICENSE	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	AUCTIONEER LICENSE
58	08/05/2025	CLPKT00582	R00003221	RITTER AU RAY COUNTY CLERK AUCTIONEER LICENSE: JULY 1 - 30 HOMETOWN PIZZA,KRISTI CASTLE,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,STEVE	-52.0	01-02-44000	01	02	44000	AUCTIONEER LICENSE	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	AUCTIONEER LICENSE
59	04/11/2025	CLPKT00536	R00003072	RAY COUNTY CLERK LIQUOR LICENSE: MARCH 19 - APRIL 9 EMBRACE THE GRAPE LLC,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,ROGER	-13.0	01-02-44005	01	02	44005	LIQUOR LICENSE	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	LIQUOR LICENSE
60	05/05/2025	CLPKT00546	R00003099	RAY COUNTY CLERK LIQUOR LICENSE: APR 9 - MAY 5 KAREN STIGALL,RAY COUNTY CLERK,THE CITY OF EXCELSIOR SPRINGS GOLF COURSE	-503.0	01-02-44005	01	02	44005	LIQUOR LICENSE	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	LIQUOR LICENSE
61	05/30/2025	CLPKT00557	R00003130	RAY COUNTY CLERK LIQUOR LICENSE: MAY 5 - 27 BRYAN CAVE LEIGHTON PAISNER LLP,CASEYS GENERAL STORES,DEPOT LLC,KEITH	-2224.0	01-02-44005	01	02	44005	LIQUOR LICENSE	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	LIQUOR LICENSE
62	06/06/2025	CLPKT00559	R00003142	RAY COUNTY CLERK LIQUOR LICENSE: MAY 28 - JUNE 5 ASPIRE SENIOR LIVING EXC SPGS LLC,FOOD MONTAGE INC,FRATERNAL ORDER	-1468.0	01-02-44005	01	02	44005	LIQUOR LICENSE	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	LIQUOR LICENSE
63	06/17/2025	CLPKT00563	R00003160	RAY COUNTY CLERK LIQUOR LICENSE: JUNE 5-16 415 MAIN EXPRESS STOP LLC,609 SHELL EXPRESS STOP LLC,800 MAIN EXPRESS STOP LLC,BRANDED STE	-2977.0	01-02-44005	01	02	44005	LIQUOR LICENSE	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	LIQUOR LICENSE
64	06/20/2025	CLPKT00566	R00003169	RAY COUNTY CLERK LIQUOR LICENSE: JUNE 17-18 FENCE STILE VINEYARDS WINERY,RAY COUNTY CLERK,SHAMROCK HILLS VINEYARD & WINERY,SHIRKEY	-2609.0	01-02-44005	01	02	44005	LIQUOR LICENSE	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	LIQUOR LICENSE
65	07/22/2025	CLPKT00577	R00003205	RAY COUNTY CLERK LIQUOR LICENSE: JUNE 20 - JULY 1 DORTONS,HOUSEWORTH RENOVATIONS LLC,OF THE EARTH FARM DISTILLERY LLC,RAY COUNTY C	-3199.0	01-02-44005	01	02	44005	LIQUOR LICENSE	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	LIQUOR LICENSE
66	08/05/2025	CLPKT00582	R00003221	RAY COUNTY CLERK LIQUOR LICENSE: JULY 1 - 30 HOMETOWN PIZZA,KRISTI CASTLE,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,STEVE	-806.0	01-02-44005	01	02	44005	LIQUOR LICENSE	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	LIQUOR LICENSE
67	08/29/2025	CLPKT00593	R00003269	RAY COUNTY CLERK LIQUOR LICENSE: JULY 31 - AUGUST 28 CHRISTINA ROBINSON,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,STELLAS	-928.67	01-02-44005	01	02	44005	LIQUOR LICENSE	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	LIQUOR LICENSE
68	11/24/2025	CLPKT00622	R00003397	RAY COUNTY CLERK LIQUOR LICENSE: OCT 23 - NOV 24 FLAT BRANCH BANK,HARDIN MINI MART,LAWSON R-XIV SCHOOL DISTRICT,MARK	-303.0	01-02-44005	01	02	44005	LIQUOR LICENSE	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	LIQUOR LICENSE
69	01/03/2025	CLPKT00503	R00002924	RAY COUNTY CIRCUIT CLERK DECEMBER 2024 COUNTY FEES RAY COUNTY CIRCUIT CLERK 66839	-1014.45	01-04-41015	01	04	41015	COUNTY FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY FEES
70	02/10/2025	CLPKT00516	R00002975	RAY COUNTY CIRCUIT CLERK JANUARY 2025 COUNTY FEES RAY COUNTY CIRCUIT CLERK 66874,67641	-1137.64	01-04-41015	01	04	41015	COUNTY FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY FEES
71	03/07/2025	CLPKT00526	R00003019	RAY COUNTY CIRCUIT CLERK FEBRUARY 2025 COUNTY FEES RAY COUNTY CIRCUIT CLERK 67676	-1158.7	01-04-41015	01	04	41015	COUNTY FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY FEES
72	04/11/2025	CLPKT00536	R00003064	RAY COUNTY CIRCUIT CLERK MARCH 2025 COUNTY FEES RAY COUNTY CIRCUIT CLERK 67696,67716	-830.24	01-04-41015	01	04	41015	COUNTY FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY FEES
73	05/05/2025	CLPKT00546	R00003096	RAY COUNTY CIRCUIT CLERK APRIL 2025 COUNTY FEES RAY COUNTY CIRCUIT CLERK 67738,67747,67760	-1197.26	01-04-41015	01	04	41015	COUNTY FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY FEES
74	06/02/2025	CLPKT00558	R00003132	RAY COUNTY CIRCUIT CLERK MAY 2025 COUNTY FEES RAY COUNTY CIRCUIT CLERK 67779,67785,67792	-896.85	01-04-41015	01	04	41015	COUNTY FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY FEES
